CNPJ_Fundo,Data_Referencia_x,Versao_x,Classe,Nome_Imovel,Endereco_x,Area_x,Numero_Unidades_x,Outras_Caracteristicas_Relevantes_x,Percentual_Vacancia,Percentual_Inadimplencia,Percentual_Receitas_FII,Percentual_Locado,Percentual_Vendido,Percentual_Conclusao_Obras_Realizado,Percentual_Conclusao_Obras_Previsto,Custo_Construcao_Realizado,Custo_Construcao_Previsto,Percentual_Imovel_Total_Investido_x,Data_Referencia_y,Versao_y,Endereco_y,Area_y,Numero_Unidades_y,Outras_Caracteristicas_Relevantes_y,Percentual_Imovel_Total_Investido_y,Categoria,Data_Referencia,Versao,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1059.0,33,Construção própia,,,,,,,,,,0.04,,,,,,,,,2016-12-31,1.0,"Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2016-11-28,367.0,12.0,Construção propia,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",3404.0,21,Construção própia,,,,,,,,,,0.21,,,,,,,,,2016-12-31,1.0,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",2016-11-08,321.0,2.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Visison,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",1722.0,55,Construção própia,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",37.0,1282,Construção própia,,,,,,,,,,0.09,,,,,,,,,2016-12-31,1.0,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",2016-10-27,242.0,6.0,Construção propia,0.34,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",973.0,29,Construção própia,,,,,,,,,,0.07,,,,,,,,,2016-12-31,1.0,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2016-10-14,246.0,8.0,Construção propia,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",1491.0,17,Aquisição de unidades prontas,,,,,,,,,,0.09,,,,,,,,,2016-12-31,1.0,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",2016-11-30,65.0,1.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Seasons,"Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ",189.0,3,Aquisição de unidades prontas,,,,,,,,,,0.01,,,,,,,,,2016-12-31,1.0,"Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ",2016-11-16,59.0,1.0,Aquisição de unidades prontas,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",3926.0,52,Construção própia,,,,,,,,,,0.24,,,,,,,,,2016-12-31,1.0,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2016-12-26,350.0,5.0,Construção propia,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Le Quartier,"Bloco ""A"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",104.0,2,Construção própia,,,,,,,,,,0.0,,,,,,,,,2016-12-31,1.0,"Bloco ""A"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2016-12-01,27.0,1.0,Construção propia,0.0,0.0
01.235.622/0001-61,2016-12-31,1,imóveis para venda acabados,Estoque Diversos,"Av. Carlos Moreira Lima, nº 460, Vitória-ES, Rua Ludwick Macal, nº 1190, Jardim da Penha, Vitória-ES e Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES",363.0,5,-,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
