Nome_Fundo,Nome_Ativo,Valor
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,Villaggio Panamby,979329.07
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,Villaggio Panamby,979329.07
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,Villaggio Panamby,979329.07
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY,Villaggio Panamby,568134.51
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Dique Seco,129289825.21
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,794761732.11
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,610582795.8
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,776562698.27
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,626782044.95
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,763957785.19
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,648309366.19
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,682642488.42
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,568669917.68
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,Não Aplicavel,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,Não Aplicavel,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,Não Aplicavel,0.0
FUNDO DE INVESTIMENTO IMOBILIARIO PENINSULA,Não Aplicavel,0.0
RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,Estanteria Pouso Alegre,4011321.28
RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,Estanteria Pouso Alegre,4011321.28
RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,Estanteria Pouso Alegre,4011321.28
RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,Estanteria Pouso Alegre,4011321.28
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Morumby,1703000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,4500000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,10000000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Parque da Allamandas,13800000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Morumby,1703000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,4500000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,10000000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Morumby,1703000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,4500000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,10000000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Morumby,1703000.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,14616500.0
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INV,Cemitério Terra Santa,10000000.0
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Sol-Fran,1168285.36
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Tiner Comp,13683379.58
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Sol-Fran,1168285.36
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Tiner Comp,12663673.27
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Sol-Fran,727080.12
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Tiner Comp,11249403.48
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Sol-Fran,621821.85
KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB,Dir. Real Tiner Comp,10684192.16
VOTORANTIM CARDIO PULMONAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Direito de superficie,8023063.63
VOTORANTIM CARDIO PULMONAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Direito de superficie,51086984.54
VOTORANTIM CARDIO PULMONAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Direito de superficie,51086984.54
VOTORANTIM CARDIO PULMONAR FUNDO DE INVESTIMENTO IMOBILIÁRIO,Direito de superficie,51086984.54
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Paulinea do Brasil,13704107.7
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Ralin Participações LTDA,76720843.06
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,SPE Santo André,11708475.94
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Season Empreendimentos,1868358.01
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Terras Empreendimentos,20049973.0
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,Vereda dos Lagos,34917000.0
