Nome_Fundo,Nome_Ativo,Valor
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,193542941.58
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,517703525.24
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,107516912.8
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,203012627.5
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,538546178.25
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,118420715.65
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,213781910.88
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,561845767.46
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,130601610.96
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Vitória,171398418.76
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Santos,476590453.38
FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA,Laboratório de Fluidos,105760025.84
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,194655145.05
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,208883790.82
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,202821664.54
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,223405215.85
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,211452963.3
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,238988539.53
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Bapon,223160749.87
FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM,Basul,258893546.17
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 121 - PASSOS DO PARQUE,289306.57
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 126 - PASSOS DO PARQUE,289306.57
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 141 - PASSOS DO PARQUE,289306.57
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII,UNIDADE 141 - PASSOS DO PARQUE,9500.0
RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO,"Terreno - Estrada da Lama Preta, 2705 - Rio de Janeiro",3974074.33
